"nodeType,node,powiat",,,,,Typ Węzła,Węzeł,Powiat
"WDA,Aleksandrów,legionowski",,,,,WDA,Aleksandrów,legionowski
"WSB,Alojzów,radomski",,,,,WSB,Alojzów,radomski
"WDA,Amelin,makowski",,,,,WDA,Amelin,makowski
"WDB,Annopol,grójecki",,,,,WDB,Annopol,grójecki
"WDA,Bakuła,ostrołęcki",,,,,WDA,Bakuła,ostrołęcki
"WDB,Bartodzieje,zwoleński",,,,,WDB,Bartodzieje,zwoleński
"WDB,Beźnik,przysuski",,,,,WDB,Beźnik,przysuski
"WDB,Białe Błoto Kurza,wyszkowski",,,,,WDB,Białe Błoto Kurza,wyszkowski
"WDA,Białoskóry,sierpecki",,,,,WDA,Białoskóry,sierpecki
"WDB,Biejków,białobrzeski",,,,,WDB,Biejków,białobrzeski
"WDB,Bielany Jarosławy,sokołowski",,,,,WDB,Bielany Jarosławy,sokołowski
"NGA,Bielsk,płocki",,,,,NGA,Bielsk,płocki
"WDA,Bieniewice,warszawski zachodni",,,,,WDA,Bieniewice,warszawski zachodni
"WDB,Bieńki-Karkuty,ciechanowski",,,,,WDB,Bieńki-Karkuty,ciechanowski
"WDB,Błędostowo,pułtuski",,,,,WDB,Błędostowo,pułtuski
"WDB,Bledzewko,sierpecki",,,,,WDB,Bledzewko,sierpecki
"WDA,Blichowo,płocki",,,,,WDA,Blichowo,płocki
"WDB,Boguszewiec,żuromiński",,,,,WDB,Boguszewiec,żuromiński
"WDB,Boguty-Żurawie,ostrowski",,,,,WDB,Boguty-Żurawie,ostrowski
"WDB,Borawe,ostrołęcki",,,,,WDB,Borawe,ostrołęcki
"WDB,Broszków,siedlecki",,,,,WDB,Broszków,siedlecki
"WDB,Brwilno Dolne,płocki",,,,,WDB,Brwilno Dolne,płocki
"WDA,Brzezia,gostyniński",,,,,WDA,Brzezia,gostyniński
"WDA,Brzózka,węgrowski",,,,,WDA,Brzózka,węgrowski
"WDB,Brzozówek,sochaczewski",,,,,WDB,Brzozówek,sochaczewski
"WDB,Buczyn Szlachecki,sokołowski",,,,,WDB,Buczyn Szlachecki,sokołowski
"WDB,Budy Prywatne,makowski",,,,,WDB,Budy Prywatne,makowski
"WDB,Budy Zaklasztorne,żyrardowski",,,,,WDB,Budy Zaklasztorne,żyrardowski
"WDB,Bujały Mikosze,sokołowski",,,,,WDB,Bujały Mikosze,sokołowski
"WDB,Bulkowo,płocki",,,,,WDB,Bulkowo,płocki
"WSB,Byszewo,makowski",,,,,WSB,Byszewo,makowski
"WDA,Cecylówka Brzózka,kozienicki",,,,,WDA,Cecylówka Brzózka,kozienicki
"WDA,Ceranów,sokołowski",,,,,WDA,Ceranów,sokołowski
"WDA,Charciabałda,ostrołęcki",,,,,WDA,Charciabałda,ostrołęcki
"WDA,Chinów,kozienicki",,,,,WDA,Chinów,kozienicki
"WDB,Chrosna,otwocki",,,,,WDB,Chrosna,otwocki
"WDA,Chyrowska Wola,kozienicki",,,,,WDA,Chyrowska Wola,kozienicki
"WDA,Cybulice Małe,nowodworski",,,,,WDA,Cybulice Małe,nowodworski
"WDB,Cyk,ostrołęcki",,,,,WDB,Cyk,ostrołęcki
"WDB,Czarny Ług,radomski",,,,,WDB,Czarny Ług,radomski
"WDB,Dębsk,żuromiński",,,,,WDB,Dębsk,żuromiński
"WDA,Dłutówka,ostrołęcki",,,,,WDA,Dłutówka,ostrołęcki
"WSA,Domanice,siedlecki",,,,,WSA,Domanice,siedlecki
"WDB,Domaniów,radomski",,,,,WDB,Domaniów,radomski
"WDA,Domaszew,garwoliński",,,,,WDA,Domaszew,garwoliński
"WSA,Drążdżewo Nowe,przasnyski",,,,,WSA,Drążdżewo Nowe,przasnyski
"WDB+,Drobin,płocki",,,,,WDB+,Drobin,płocki
"WDB,Drwały,płocki",,,,,WDB,Drwały,płocki
"NGA,Duczki,wołomiński",,,,,NGA,Duczki,wołomiński
"WDA,Duczymin,przasnyski",,,,,WDA,Duczymin,przasnyski
"WDB,Dudy Puszczańskie,ostrołęcki",,,,,WDB,Dudy Puszczańskie,ostrołęcki
"WDB,Dukt,ciechanowski",,,,,WDB,Dukt,ciechanowski
"NGA,Dziekanów Leśny,warszawski zachodni",,,,,NGA,Dziekanów Leśny,warszawski zachodni
"WDB,Dzierżenin,pułtuski",,,,,WDB,Dzierżenin,pułtuski
"WDA,Dzierzgowo,mławski",,,,,WDA,Dzierzgowo,mławski
"WDB,Franciszków,radomski",,,,,WDB,Franciszków,radomski
"WSB,Garbatka Długa,kozienicki",,,,,WSB,Garbatka Długa,kozienicki
"NGA,Garbatka Letnisko,kozienicki",,,,,NGA,Garbatka Letnisko,kozienicki
"WDA,Gasiorowo,ostrowski",,,,,WDA,Gasiorowo,ostrowski
"WDA,Gawłowo,płoński",,,,,WDA,Gawłowo,płoński
"WDB,Głażewo-Cholewy,makowski",,,,,WDB,Głażewo-Cholewy,makowski
"WDB,Głęboczyca,miński",,,,,WDB,Głęboczyca,miński
"WDA,Głodowo,pułtuski",,,,,WDA,Głodowo,pułtuski
"WSB,Gościmin Wielki,płoński",,,,,WSB,Gościmin Wielki,płoński
"WDA,Gostchorz,siedlecki",,,,,WDA,Gostchorz,siedlecki
"WSB,Gostynin,gostyniński",,,,,WSB,Gostynin,gostyniński
"WDB,Grabowa,przysuski",,,,,WDB,Grabowa,przysuski
"WDA,Grądy,ostrowski",,,,,WDA,Grądy,ostrowski
"WSB,Grądy Szlacheckie,wyszkowski",,,,,WSB,Grądy Szlacheckie,wyszkowski
"WDA,Gralewo,płoński",,,,,WDA,Gralewo,płoński
"WSA,Grygrów,węgrowski",,,,,WSA,Grygrów,węgrowski
"WDB,Grzebsk,mławski",,,,,WDB,Grzebsk,mławski
"WDB,Guty,sokołowski",,,,,WDB,Guty,sokołowski
"WDB,Helenów,gostyniński",,,,,WDB,Helenów,gostyniński
"WDA,Henrysin,nowodworski",,,,,WDA,Henrysin,nowodworski
"WDA,Hołowczyce Nowe,łosicki",,,,,WDA,Hołowczyce Nowe,łosicki
"WDB,Hołubla,siedlecki",,,,,WDB,Hołubla,siedlecki
"WDB,Hucisko,szydłowiecki",,,,,WDB,Hucisko,szydłowiecki
"WDB,Huta,lipski",,,,,WDB,Huta,lipski
"WDA,Izabelin Dziekanówek,nowodworski",,,,,WDA,Izabelin Dziekanówek,nowodworski
"WDA,Jagodne,siedlecki",,,,,WDA,Jagodne,siedlecki
"WSA,Jakubowizna,grójecki",,,,,WSA,Jakubowizna,grójecki
"WDA,Janikowo,płoński",,,,,WDA,Janikowo,płoński
"WDA,Janów,sochaczewski",,,,,WDA,Janów,sochaczewski
"WDB,Janowo,nowodworski",,,,,WDB,Janowo,nowodworski
"NGA,Jasienica,wołomiński",,,,,NGA,Jasienica,wołomiński
"WDA,Jasienica,ostrowski",,,,,WDA,Jasienica,ostrowski
"WDB,Jasieniec Iłżecki Dolny,radomski",,,,,WDB,Jasieniec Iłżecki Dolny,radomski
"WDA,Jaszczułty,wyszkowski",,,,,WDA,Jaszczułty,wyszkowski
"WSB,Jaźwiny,garwoliński",,,,,WSB,Jaźwiny,garwoliński
"NGA,Jedlnia-Letnisko,radomski",,,,,NGA,Jedlnia-Letnisko,radomski
"WSA,Józefów,otwocki",,,,,WSA,Józefów,otwocki
"WSB,Józefów II,grójecki",,,,,WSB,Józefów II,grójecki
"WDA,Juliszew,płocki",,,,,WDA,Juliszew,płocki
"WDA,Justynów,sokołowski",,,,,WDA,Justynów,sokołowski
"WDB,Kacprówek,garwoliński",,,,,WDB,Kacprówek,garwoliński
"NGA,Kadzidło,ostrołęcki",,,,,NGA,Kadzidło,ostrołęcki
"WDB,Kaki-Mroczki,przasnyski",,,,,WDB,Kaki-Mroczki,przasnyski
"WDB,Kalinowo,ostrowski",,,,,WDB,Kalinowo,ostrowski
"NGA,Kałuszyn,miński",,,,,NGA,Kałuszyn,miński
"WSA,Kamienica,płoński",,,,,WSA,Kamienica,płoński
"WSA,Kamionka,żyrardowski",,,,,WSA,Kamionka,żyrardowski
"WDB,Karczewizna,węgrowski",,,,,WDB,Karczewizna,węgrowski
"WDB,Karniewo,ciechanowski",,,,,WDB,Karniewo,ciechanowski
"WDB,Karskie,sokołowski",,,,,WDB,Karskie,sokołowski
"WDA,Kiedrzyn,radomski",,,,,WDA,Kiedrzyn,radomski
"WSB,Kisielew,łosicki",,,,,WSB,Kisielew,łosicki
"WDB,Kitki,mławski",,,,,WDB,Kitki,mławski
"WDA,Kłonna,przysuski",,,,,WDA,Kłonna,przysuski
"WDB,Kobylnica,garwoliński",,,,,WDB,Kobylnica,garwoliński
"WDA,Kolonia Nadwiślańska,lipski",,,,,WDA,Kolonia Nadwiślańska,lipski
"WDA,Kolonia Sielce,białobrzeski",,,,,WDA,Kolonia Sielce,białobrzeski
"WDA,Kolonia Wola Solecka,lipski",,,,,WDA,Kolonia Wola Solecka,lipski
"WDA,Kondrajec,ciechanowski",,,,,WDA,Kondrajec,ciechanowski
"WDA,Kostrzyn,białobrzeski",,,,,WDA,Kostrzyn,białobrzeski
"WDB,Kotłówka,garwoliński",,,,,WDB,Kotłówka,garwoliński
"WDB,Kotuń,siedlecki",,,,,WDB,Kotuń,siedlecki
"WDA,Krasna Dąbrowa,radomski",,,,,WDA,Krasna Dąbrowa,radomski
"WDB,Kraszewo Podborne,płoński",,,,,WDB,Kraszewo Podborne,płoński
"WSB,Krawcowizna,wołomiński",,,,,WSB,Krawcowizna,wołomiński
"WDB,Krzesk Majątek,siedlecki",,,,,WDB,Krzesk Majątek,siedlecki
"WDA,Krześlin,siedlecki",,,,,WDA,Krześlin,siedlecki
"WDA,Kuklin,mławski",,,,,WDA,Kuklin,mławski
"WSB,Kupientyn,sokołowski",,,,,WSB,Kupientyn,sokołowski
"WSB,Kurpiewskie,ostrołęcki",,,,,WSB,Kurpiewskie,ostrołęcki
"WDB,Łączka,siedlecki",,,,,WDB,Łączka,siedlecki
"WDB,Łątczyn,ostrołęcki",,,,,WDB,Łątczyn,ostrołęcki
"WDB,Ławeczko Stare,zwoleński",,,,,WDB,Ławeczko Stare,zwoleński
"WDA,Łaz,przasnyski",,,,,WDA,Łaz,przasnyski
"WDB,Łaziska,szydłowiecki",,,,,WDB,Łaziska,szydłowiecki
"WDB,Łęczeszyce,grójecki",,,,,WDB,Łęczeszyce,grójecki
"WDB+,Leszno,warszawski zachodni",,,,,WDB+,Leszno,warszawski zachodni
"WDA,Lewiczyn,mławski",,,,,WDA,Lewiczyn,mławski
"WSA,Lewiczyn,grójecki",,,,,WSA,Lewiczyn,grójecki
"WDB,Lipińskie,płocki",,,,,WDB,Lipińskie,płocki
"WSA,Lipiny,zwoleński",,,,,WSA,Lipiny,zwoleński
"WDB+,Lipsko,lipski",,,,,WDB+,Lipsko,lipski
"WSB,Lipsko,lipski",,,,,WSB,Lipsko,lipski
"WDA,Lisewo,płoński",,,,,WDA,Lisewo,płoński
"WDB,Litewniki Nowe,łosicki",,,,,WDB,Litewniki Nowe,łosicki
"WDA,Łomnica,garwoliński",,,,,WDA,Łomnica,garwoliński
"WDB,Łosia Wólka,nowodworski",,,,,WDB,Łosia Wólka,nowodworski
"WDB+,Łosice,łosicki",,,,,WDB+,Łosice,łosicki
"WDB,Lucimia,zwoleński",,,,,WDB,Lucimia,zwoleński
"WDB,Łukówiec,miński",,,,,WDB,Łukówiec,miński
"WDB,Luszyn,gostyniński",,,,,WDB,Luszyn,gostyniński
"WDA,Łysakowo,ciechanowski",,,,,WDA,Łysakowo,ciechanowski
"WDB,Mąkosy Nowe,radomski",,,,,WDB,Mąkosy Nowe,radomski
"WDB+,Maków Mazowiecki,makowski",,,,,WDB+,Maków Mazowiecki,makowski
"WDB+,Małkinia Górna,ostrowski",,,,,WDB+,Małkinia Górna,ostrowski
"WSB,Małocice,nowodworski",,,,,WSB,Małocice,nowodworski
"WDA,Małowidz,przasnyski",,,,,WDA,Małowidz,przasnyski
"WDB,Mdzewko,mławski",,,,,WDB,Mdzewko,mławski
"WDA,Mieczysławów,zwoleński",,,,,WDA,Mieczysławów,zwoleński
"WDA,Międzypole,wołomiński",,,,,WDA,Międzypole,wołomiński
"WDA,Miękoszyn,nowodworski",,,,,WDA,Miękoszyn,nowodworski
"WDB,Milewo,płoński",,,,,WDB,Milewo,płoński
"WDB,Milewo-Szwejki,przasnyski",,,,,WDB,Milewo-Szwejki,przasnyski
"WSA,Model,gostyniński",,,,,WSA,Model,gostyniński
"WDB,Mostów,łosicki",,,,,WDB,Mostów,łosicki
"WDB,Mostowo,mławski",,,,,WDB,Mostowo,mławski
"WDB+,Mszczonów,żyrardowski",,,,,WDB+,Mszczonów,żyrardowski
"NGA,Myszyniec,ostrołęcki",,,,,NGA,Myszyniec,ostrołęcki
"WDA,Naborówiec,płoński",,,,,WDA,Naborówiec,płoński
"WDB,Nagoszewka,ostrowski",,,,,WDB,Nagoszewka,ostrowski
"WDB+,Nasielsk,nowodworski",,,,,WDB+,Nasielsk,nowodworski
"WDA,Niedarzyn,płoński",,,,,WDA,Niedarzyn,płoński
"WDB,Niedzbórz,mławski",,,,,WDB,Niedzbórz,mławski
"WDA,Niemirki,sokołowski",,,,,WDA,Niemirki,sokołowski
"WDB,Ninków,przysuski",,,,,WDB,Ninków,przysuski
